Time	GateI	GateV	DrainI	Vref
1.0809898E-03	-5.9892480E-09	0.0000000E+00	-3.4921590E-08	-2.5848850E-01
2.0013609E+00	-1.7496420E-08	0.0000000E+00	-1.6371760E-08	-2.6118370E-01
4.0014791E+00	-1.7686720E-08	0.0000000E+00	-1.1047110E-08	-2.6240190E-01
6.0013645E+00	-1.8449740E-08	0.0000000E+00	-9.5376200E-09	-2.6253560E-01
8.0013661E+00	-1.8761540E-08	0.0000000E+00	-8.8114870E-09	-2.6256580E-01
1.0001680E+01	-1.8966120E-08	0.0000000E+00	-8.2395810E-09	-2.6256470E-01
1.2001407E+01	-1.9156740E-08	0.0000000E+00	-7.7084120E-09	-2.6252790E-01
1.4001259E+01	-1.9221790E-08	0.0000000E+00	-7.4132200E-09	-2.6248290E-01
1.6001569E+01	-1.9283380E-08	0.0000000E+00	-7.1076370E-09	-2.6243020E-01
1.8001288E+01	-1.9309550E-08	0.0000000E+00	-6.8114720E-09	-2.6237220E-01
2.0001591E+01	-1.9384360E-08	0.0000000E+00	-6.5478950E-09	-2.6231060E-01
2.2001639E+01	-2.0526170E-08	0.0000000E+00	-6.5176660E-09	-2.6225130E-01
2.4001565E+01	-1.9623140E-08	0.0000000E+00	-6.1130450E-09	-2.6218990E-01
2.6001263E+01	-1.9510750E-08	0.0000000E+00	-5.9531270E-09	-2.6213220E-01
2.8001490E+01	-1.9554570E-08	0.0000000E+00	-5.8016590E-09	-2.6207200E-01
3.0001682E+01	-1.3439200E-07	-5.0000000E-02	3.7194410E-08	-2.7107730E-01
3.2001402E+01	-8.0466950E-08	-5.0000000E-02	2.5555790E-08	-2.8793870E-01
3.4001326E+01	-6.3747190E-08	-5.0000000E-02	1.4450000E-08	-2.8291460E-01
3.6001701E+01	-5.6524090E-08	-5.0000000E-02	1.1049100E-08	-2.8125080E-01
3.8001358E+01	-5.2669640E-08	-5.0000000E-02	9.0981970E-09	-2.8063180E-01
4.0001460E+01	-5.0879960E-08	-5.0000000E-02	8.3733550E-09	-2.8045260E-01
4.2001609E+01	-4.9415060E-08	-5.0000000E-02	7.6826780E-09	-2.8047750E-01
4.4001523E+01	-4.8219100E-08	-5.0000000E-02	7.1850520E-09	-2.8061120E-01
4.6001188E+01	-4.7385640E-08	-5.0000000E-02	6.7734570E-09	-2.8080320E-01
4.8001231E+01	-4.6699720E-08	-5.0000000E-02	6.4452880E-09	-2.8103330E-01
5.0001677E+01	-4.6106590E-08	-5.0000000E-02	6.1841330E-09	-2.8127900E-01
5.2001566E+01	-4.5510220E-08	-5.0000000E-02	5.9614170E-09	-2.8153250E-01
5.4001393E+01	-4.5037470E-08	-5.0000000E-02	5.6882290E-09	-2.8178790E-01
5.6001614E+01	-4.4616720E-08	-5.0000000E-02	5.5283290E-09	-2.8204180E-01
5.8001513E+01	-4.4197230E-08	-5.0000000E-02	5.3537160E-09	-2.8229450E-01
6.0001346E+01	-2.2407920E-07	-1.0000000E-01	3.6473580E-08	-2.8782600E-01
6.2001362E+01	-1.3043160E-07	-1.0000000E-01	4.6686870E-08	-3.0823120E-01
6.4001440E+01	-1.0558690E-07	-1.0000000E-01	3.3280690E-08	-3.0396150E-01
