Time	GateI	GateV	DrainI	Vref
2.2370815E-03	3.6580010E-10	0.0000000E+00	-4.2842670E-08	-2.6430090E-01
2.0018826E+00	-1.2910740E-08	0.0000000E+00	-1.8450840E-08	-2.6797700E-01
4.0023162E+00	-1.4184440E-08	0.0000000E+00	-1.4411010E-08	-2.6852860E-01
6.0021424E+00	-1.5118360E-08	0.0000000E+00	-1.2727050E-08	-2.6868210E-01
8.0019352E+00	-1.5627390E-08	0.0000000E+00	-1.1638360E-08	-2.6871840E-01
1.0002172E+01	-1.5959460E-08	0.0000000E+00	-1.0820160E-08	-2.6869690E-01
1.2002016E+01	-1.6184050E-08	0.0000000E+00	-1.0183880E-08	-2.6864490E-01
1.4002057E+01	-1.6398590E-08	0.0000000E+00	-9.5182420E-09	-2.6857810E-01
1.6002439E+01	-1.6409790E-08	0.0000000E+00	-9.1915630E-09	-2.6850250E-01
1.8002180E+01	-1.6572250E-08	0.0000000E+00	-8.7863200E-09	-2.6843240E-01
2.0001903E+01	-1.6568880E-08	0.0000000E+00	-8.5686120E-09	-2.6835380E-01
2.2002009E+01	-1.6622750E-08	0.0000000E+00	-8.3019530E-09	-2.6828580E-01
2.4002213E+01	-1.6679360E-08	0.0000000E+00	-8.0387270E-09	-2.6822030E-01
2.6002182E+01	-1.6707670E-08	0.0000000E+00	-7.8266970E-09	-2.6815380E-01
2.8002345E+01	-1.6844370E-08	0.0000000E+00	-7.5967460E-09	-2.6808410E-01
3.0002225E+01	-1.5733210E-07	-5.0000000E-02	3.6947040E-08	-2.7675910E-01
3.2001954E+01	-8.6938230E-08	-5.0000000E-02	2.8004630E-08	-2.9255520E-01
3.4002316E+01	-6.7379840E-08	-5.0000000E-02	1.4678050E-08	-2.8706950E-01
3.6001913E+01	-5.8992960E-08	-5.0000000E-02	1.0541640E-08	-2.8531940E-01
3.8002195E+01	-5.3525670E-08	-5.0000000E-02	8.7020930E-09	-2.8469520E-01
4.0002358E+01	-5.1424580E-08	-5.0000000E-02	7.7728100E-09	-2.8450600E-01
4.2001808E+01	-4.9605320E-08	-5.0000000E-02	7.0102440E-09	-2.8451880E-01
4.4002345E+01	-4.8467580E-08	-5.0000000E-02	6.3927200E-09	-2.8466120E-01
4.6002289E+01	-4.7537040E-08	-5.0000000E-02	6.0199500E-09	-2.8486170E-01
4.8002433E+01	-4.6782190E-08	-5.0000000E-02	5.6301670E-09	-2.8506430E-01
5.0002144E+01	-4.6107700E-08	-5.0000000E-02	5.3340350E-09	-2.8527950E-01
5.2002099E+01	-4.5804660E-08	-5.0000000E-02	5.0697940E-09	-2.8551770E-01
5.4001883E+01	-4.5084620E-08	-5.0000000E-02	4.8477230E-09	-2.8573220E-01
5.6002406E+01	-4.4804230E-08	-5.0000000E-02	4.5708260E-09	-2.8597800E-01
5.8001821E+01	-4.4282360E-08	-5.0000000E-02	4.4032840E-09	-2.8621670E-01
6.0002378E+01	-2.4133440E-07	-1.0000000E-01	3.6264500E-08	-2.9182690E-01
6.2002225E+01	-1.4150160E-07	-1.0000000E-01	5.1495150E-08	-3.1141490E-01
6.4001896E+01	-1.1153040E-07	-1.0000000E-01	3.4988810E-08	-3.0662430E-01
6.6002197E+01	-1.0274710E-07	-1.0000000E-01	3.0417280E-08	-3.0580020E-01
6.8002405E+01	-9.8531640E-08	-1.0000000E-01	2.8091420E-08	-3.0584320E-01
7.0002260E+01	-9.5357980E-08	-1.0000000E-01	2.6395190E-08	-3.0610520E-01
7.2002730E+01	-9.2874660E-08	-1.0000000E-01	2.5073890E-08	-3.0651810E-01
7.4002029E+01	-9.0548850E-08	-1.0000000E-01	2.3875920E-08	-3.0697850E-01
7.6002297E+01	-8.8981620E-08	-1.0000000E-01	2.2934470E-08	-3.0747220E-01
7.8002337E+01	-8.7402770E-08	-1.0000000E-01	2.2034260E-08	-3.0794130E-01
8.0002256E+01	-8.5834480E-08	-1.0000000E-01	2.1326340E-08	-3.0841160E-01
8.2002207E+01	-8.4723020E-08	-1.0000000E-01	2.0544520E-08	-3.0886110E-01
8.4001826E+01	-8.3513670E-08	-1.0000000E-01	1.9772320E-08	-3.0928240E-01
8.6002469E+01	-8.2439400E-08	-1.0000000E-01	1.9206090E-08	-3.0969100E-01
8.8002290E+01	-8.1161660E-08	-1.0000000E-01	1.8454760E-08	-3.1009820E-01
9.0001890E+01	-3.1758570E-07	-1.5000000E-01	2.9708510E-08	-3.1141480E-01
9.2002588E+01	-1.9905190E-07	-1.5000000E-01	7.7507790E-08	-3.3255580E-01
9.4002188E+01	-1.7482600E-07	-1.5000000E-01	6.1850730E-08	-3.3035920E-01
9.6002404E+01	-1.6650720E-07	-1.5000000E-01	5.6354300E-08	-3.3049710E-01
9.8002030E+01	-1.6001860E-07	-1.5000000E-01	5.3445590E-08	-3.3105790E-01
1.0000224E+02	-1.5632700E-07	-1.5000000E-01	5.0755500E-08	-3.3171830E-01
1.0200199E+02	-1.5243930E-07	-1.5000000E-01	4.8703470E-08	-3.3244900E-01
1.0400211E+02	-1.4944610E-07	-1.5000000E-01	4.6626150E-08	-3.3314990E-01
1.0600197E+02	-1.4636450E-07	-1.5000000E-01	4.4724440E-08	-3.3380460E-01
1.0800198E+02	-1.4345270E-07	-1.5000000E-01	4.3013820E-08	-3.3445030E-01
1.1000203E+02	-1.4115080E-07	-1.5000000E-01	4.1277260E-08	-3.3506660E-01
1.1200191E+02	-1.3839430E-07	-1.5000000E-01	3.9775420E-08	-3.3567600E-01
1.1400186E+02	-1.3598960E-07	-1.5000000E-01	3.8279600E-08	-3.3626350E-01
1.1600217E+02	-1.3303350E-07	-1.5000000E-01	3.6861490E-08	-3.3682300E-01
1.1800239E+02	-1.3167130E-07	-1.5000000E-01	3.5333040E-08	-3.3739570E-01
1.2000217E+02	-3.3780350E-07	-2.0000000E-01	1.5461890E-07	-3.6713220E-01
1.2200219E+02	-2.7766320E-07	-2.0000000E-01	1.0561370E-07	-3.5691760E-01
1.2400192E+02	-2.5919930E-07	-2.0000000E-01	9.2971190E-08	-3.5723850E-01
1.2600221E+02	-2.5004390E-07	-2.0000000E-01	8.6874160E-08	-3.5822040E-01
1.2800180E+02	-2.4321200E-07	-2.0000000E-01	8.1264940E-08	-3.5922300E-01
1.3000250E+02	-2.3682350E-07	-2.0000000E-01	7.6471080E-08	-3.6018040E-01
1.3200225E+02	-2.2980010E-07	-2.0000000E-01	7.2378650E-08	-3.6111980E-01
1.3400204E+02	-2.2306620E-07	-2.0000000E-01	6.9768010E-08	-3.6213700E-01
1.3600184E+02	-2.1608600E-07	-2.0000000E-01	7.1809580E-08	-3.6342280E-01
1.3800173E+02	-2.1386790E-07	-2.0000000E-01	6.7386910E-08	-3.6436000E-01
1.4000194E+02	-2.0866820E-07	-2.0000000E-01	6.1511220E-08	-3.6506470E-01
1.4200204E+02	-2.0478530E-07	-2.0000000E-01	5.8586210E-08	-3.6579210E-01
1.4400217E+02	-2.0018270E-07	-2.0000000E-01	5.3930150E-08	-3.6638400E-01
1.4600213E+02	-1.9789180E-07	-2.0000000E-01	5.4957360E-08	-3.6722580E-01
1.4800259E+02	-1.9121390E-07	-2.0000000E-01	4.7573340E-08	-3.6781630E-01
1.5000247E+02	-4.5177850E-07	-2.5000000E-01	1.9989620E-07	-3.9526960E-01
1.5200208E+02	-3.8854830E-07	-2.5000000E-01	1.4285340E-07	-3.8560510E-01
1.5400231E+02	-3.6653950E-07	-2.5000000E-01	1.3124600E-07	-3.8719300E-01
1.5600225E+02	-3.5708500E-07	-2.5000000E-01	1.2074150E-07	-3.8865340E-01
1.5800225E+02	-3.4247220E-07	-2.5000000E-01	1.0691070E-07	-3.8977310E-01
1.6000187E+02	-3.3290280E-07	-2.5000000E-01	9.1904450E-08	-3.9066420E-01
1.6200190E+02	-3.2637640E-07	-2.5000000E-01	8.4294160E-08	-3.9180520E-01
1.6400214E+02	-3.1839720E-07	-2.5000000E-01	7.5143650E-08	-3.9279400E-01
1.6600229E+02	-3.1083460E-07	-2.5000000E-01	6.6344020E-08	-3.9373560E-01
1.6800197E+02	-3.0472920E-07	-2.5000000E-01	6.0435610E-08	-3.9467540E-01
1.7000231E+02	-2.9816230E-07	-2.5000000E-01	5.1515060E-08	-3.9555070E-01
1.7200194E+02	-2.9155110E-07	-2.5000000E-01	4.3281850E-08	-3.9638850E-01
1.7400205E+02	-2.8657780E-07	-2.5000000E-01	3.8969110E-08	-3.9726010E-01
1.7600236E+02	-2.8000870E-07	-2.5000000E-01	3.1290830E-08	-3.9803780E-01
1.7800231E+02	-2.7592640E-07	-2.5000000E-01	2.3202610E-08	-3.9880500E-01
1.8000216E+02	-5.9243490E-07	-3.0000000E-01	2.3151130E-07	-4.1800440E-01
1.8200196E+02	-5.2630630E-07	-3.0000000E-01	1.6191980E-07	-4.1601610E-01
1.8400194E+02	-4.9892450E-07	-3.0000000E-01	1.4153280E-07	-4.1812760E-01
1.8600223E+02	-4.7655630E-07	-3.0000000E-01	1.2411780E-07	-4.2000900E-01
1.8800239E+02	-4.6025600E-07	-3.0000000E-01	1.2074690E-07	-4.2177540E-01
1.9000213E+02	-4.4555350E-07	-3.0000000E-01	8.7258350E-08	-4.2317850E-01
1.9200192E+02	-4.3249270E-07	-3.0000000E-01	6.7004600E-08	-4.2451050E-01
1.9400202E+02	-4.1965500E-07	-3.0000000E-01	6.3438320E-08	-4.2589710E-01
1.9600185E+02	-4.1279790E-07	-3.0000000E-01	5.0475440E-08	-4.2714250E-01
1.9800219E+02	-3.9906690E-07	-3.0000000E-01	3.9415440E-08	-4.2834040E-01
2.0000184E+02	-3.8820460E-07	-3.0000000E-01	7.0407970E-08	-4.2961760E-01
2.0200190E+02	-3.7584810E-07	-3.0000000E-01	7.9694030E-08	-4.3096860E-01
2.0400229E+02	-3.6694930E-07	-3.0000000E-01	9.0244280E-08	-4.3207560E-01
2.0600230E+02	-3.4742260E-07	-3.0000000E-01	8.4617090E-08	-4.3324850E-01
2.0800198E+02	-3.7890480E-07	-3.0000000E-01	2.3312170E-07	-4.4704960E-01
2.1000214E+02	-7.5605300E-07	-3.5000000E-01	9.8343240E-07	-4.4012770E-01
2.1200229E+02	-6.4681690E-07	-3.5000000E-01	5.5069520E-07	-4.5101100E-01
2.1400217E+02	-6.1318970E-07	-3.5000000E-01	4.7466240E-07	-4.5343280E-01
2.1600228E+02	-5.8543930E-07	-3.5000000E-01	4.8374690E-07	-4.5578560E-01
