Time	GateI	GateV	DrainI	Vref
0.0000000E+00	-1.1320700E-09	0.0000000E+00	-2.6625400E-08	-2.4754870E-01
2.1314468E+00	-1.2765700E-09	0.0000000E+00	-1.2604900E-08	-2.5049650E-01
4.2633967E+00	-1.2765600E-09	0.0000000E+00	-1.0412100E-08	-2.5117650E-01
6.0001669E+00	-1.1157400E-09	0.0000000E+00	-7.9982700E-09	-2.5142210E-01
8.0001612E+00	-1.1215300E-09	0.0000000E+00	-7.5169100E-09	-2.5154920E-01
1.0000076E+01	-1.3797600E-09	0.0000000E+00	-7.1959900E-09	-2.5158040E-01
1.2000057E+01	-1.3797700E-09	0.0000000E+00	-6.9970100E-09	-2.5155060E-01
1.4000241E+01	-1.3797600E-09	0.0000000E+00	-6.8636800E-09	-2.5148610E-01
1.6000225E+01	-1.3797400E-09	0.0000000E+00	-6.6708800E-09	-2.5139990E-01
1.8000487E+01	-1.2188900E-09	0.0000000E+00	-6.8288500E-09	-2.5131290E-01
2.0000501E+01	-1.1982700E-09	0.0000000E+00	-6.6844700E-09	-2.5121140E-01
2.2000681E+01	-1.1982700E-09	0.0000000E+00	-6.5607000E-09	-2.5110190E-01
2.4000276E+01	-1.1982800E-09	0.0000000E+00	-6.3480700E-09	-2.5099260E-01
2.6000644E+01	-1.1982800E-09	0.0000000E+00	-6.1675800E-09	-2.5088220E-01
2.8000675E+01	-1.1982800E-09	0.0000000E+00	-6.1537700E-09	-2.5076340E-01
3.0000374E+01	-4.0259700E-09	-5.0000000E-02	6.9655300E-08	-2.9155890E-01
3.2000544E+01	-2.7669400E-09	-5.0000000E-02	3.0973600E-08	-2.8315050E-01
3.4000620E+01	-2.3954100E-09	-5.0000000E-02	2.0849400E-08	-2.7961590E-01
3.6000338E+01	-2.1890200E-09	-5.0000000E-02	1.5983900E-08	-2.7790890E-01
3.8000382E+01	-2.0651900E-09	-5.0000000E-02	1.3223700E-08	-2.7702870E-01
4.0000771E+01	-2.0032600E-09	-5.0000000E-02	1.1290300E-08	-2.7660240E-01
4.2000388E+01	-2.1847400E-09	-5.0000000E-02	7.9192800E-09	-2.7642820E-01
4.4000377E+01	-2.1641000E-09	-5.0000000E-02	7.2385800E-09	-2.7640540E-01
4.6000359E+01	-2.1228000E-09	-5.0000000E-02	6.7510300E-09	-2.7647450E-01
4.8000554E+01	-2.0815000E-09	-5.0000000E-02	6.2718100E-09	-2.7659940E-01
5.0000406E+01	-2.0608600E-09	-5.0000000E-02	5.8344400E-09	-2.7675700E-01
5.2000759E+01	-2.0815000E-09	-5.0000000E-02	5.5318700E-09	-2.7694900E-01
5.4000404E+01	-2.0402100E-09	-5.0000000E-02	5.2338600E-09	-2.7713770E-01
5.6000691E+01	-2.0195800E-09	-5.0000000E-02	5.0274600E-09	-2.7734190E-01
5.8001131E+01	-1.9989400E-09	-5.0000000E-02	4.6925400E-09	-2.7754400E-01
6.0000163E+01	-5.8792400E-09	-1.0000000E-01	9.9535100E-08	-3.1479540E-01
6.2000636E+01	-3.6960900E-09	-1.0000000E-01	5.2874900E-08	-3.0815490E-01
6.4000763E+01	-3.5262800E-09	-1.0000000E-01	4.1803900E-08	-3.0523090E-01
6.6000468E+01	-3.2992200E-09	-1.0000000E-01	3.6409100E-08	-3.0423900E-01
6.8000517E+01	-2.9540100E-09	-1.0000000E-01	3.3233800E-08	-3.0399320E-01
7.0000428E+01	-2.8907300E-09	-1.0000000E-01	3.0958800E-08	-3.0410080E-01
7.2000134E+01	-2.8288000E-09	-1.0000000E-01	2.9308700E-08	-3.0437370E-01
7.4000866E+01	-2.7668800E-09	-1.0000000E-01	2.7908800E-08	-3.0473420E-01
7.6000762E+01	-2.7668900E-09	-1.0000000E-01	2.6614300E-08	-3.0513060E-01
7.8000874E+01	-2.6843200E-09	-1.0000000E-01	2.5730200E-08	-3.0555060E-01
8.0000496E+01	-2.6637300E-09	-1.0000000E-01	2.4775600E-08	-3.0597300E-01
8.2000123E+01	-2.6431000E-09	-1.0000000E-01	2.3915600E-08	-3.0639610E-01
8.4000431E+01	-2.6076500E-09	-1.0000000E-01	2.3238500E-08	-3.0679790E-01
8.6000722E+01	-2.5864500E-09	-1.0000000E-01	2.2414000E-08	-3.0719210E-01
8.8000916E+01	-2.5604600E-09	-1.0000000E-01	2.1798800E-08	-3.0757880E-01
9.0000535E+01	-9.1446500E-09	-1.5000000E-01	1.6673500E-07	-3.4062220E-01
9.2000451E+01	-5.3881700E-09	-1.5000000E-01	8.6062100E-08	-3.3518370E-01
9.4000494E+01	-5.0743000E-09	-1.5000000E-01	7.3741800E-08	-3.3300830E-01
9.6000568E+01	-4.8059300E-09	-1.5000000E-01	6.7852300E-08	-3.3266240E-01
9.8000208E+01	-4.6408200E-09	-1.5000000E-01	6.4192600E-08	-3.3287240E-01
1.0000101E+02	-4.4963400E-09	-1.5000000E-01	6.1701300E-08	-3.3329440E-01
1.0200096E+02	-4.3931400E-09	-1.5000000E-01	5.9603400E-08	-3.3379030E-01
1.0400044E+02	-4.2693000E-09	-1.5000000E-01	5.7769400E-08	-3.3430110E-01
1.0600084E+02	-4.2280200E-09	-1.5000000E-01	5.6108400E-08	-3.3480930E-01
1.0800046E+02	-4.1454600E-09	-1.5000000E-01	5.4737000E-08	-3.3531050E-01
1.1000079E+02	-4.0835400E-09	-1.5000000E-01	5.3457500E-08	-3.3579410E-01
