Time	GateI	GateV	DrainI	Vref
0.0000000E+00	1.9819700E-08	0.0000000E+00	-8.7682100E-08	-3.1178340E-01
2.0005767E+00	-3.0652400E-10	0.0000000E+00	-4.6709300E-08	-3.1743620E-01
4.2121997E+00	-1.2501500E-10	0.0000000E+00	-4.1284000E-08	-3.1778860E-01
6.3379023E+00	-3.8908100E-10	0.0000000E+00	-3.9208500E-08	-3.1761370E-01
8.4721265E+00	-2.2820000E-10	0.0000000E+00	-3.8135900E-08	-3.1729940E-01
1.0600645E+01	-4.3036200E-10	0.0000000E+00	-3.7393400E-08	-3.1694520E-01
1.2727461E+01	-2.7996100E-10	0.0000000E+00	-3.6912700E-08	-3.1655950E-01
1.4858678E+01	-2.4891300E-10	0.0000000E+00	-3.6367000E-08	-3.1616390E-01
1.7081984E+01	-5.1294100E-10	0.0000000E+00	-3.6012500E-08	-3.1574700E-01
1.9215378E+01	-3.1081200E-10	0.0000000E+00	-3.5643800E-08	-3.1534410E-01
2.1343109E+01	-5.3359200E-10	0.0000000E+00	-3.5379200E-08	-3.1494250E-01
2.3470026E+01	-3.1081600E-10	0.0000000E+00	-3.4965800E-08	-3.1453670E-01
2.5610739E+01	-5.5422800E-10	0.0000000E+00	-3.4722400E-08	-3.1413310E-01
2.7731750E+01	-3.1080400E-10	0.0000000E+00	-3.4557400E-08	-3.1373760E-01
2.9873361E+01	-7.6032900E-08	-5.0000000E-02	2.1233700E-07	-3.2507930E-01
3.0532588E+01	-4.2138400E-08	-5.0000000E-02	7.8524800E-08	-3.3908070E-01
3.2000189E+01	-1.7223100E-08	-5.0000000E-02	2.8429100E-08	-3.3011760E-01
3.4000466E+01	-1.0081700E-08	-5.0000000E-02	4.3128300E-09	-3.2663370E-01
3.6000701E+01	-1.8544900E-09	-5.0000000E-02	-2.6260300E-09	-3.2528010E-01
3.8287652E+01	-1.8338500E-09	-5.0000000E-02	-3.3439200E-09	-3.2451090E-01
4.0000090E+01	-1.5285400E-09	-5.0000000E-02	-4.7248700E-09	-3.2416650E-01
4.2000610E+01	-1.4666200E-09	-5.0000000E-02	-5.5072600E-09	-3.2387550E-01
4.4000458E+01	-1.4253300E-09	-5.0000000E-02	-6.2543600E-09	-3.2365080E-01
4.6000602E+01	-1.4047100E-09	-5.0000000E-02	-6.8773000E-09	-3.2346620E-01
4.8000507E+01	-1.3634300E-09	-5.0000000E-02	-7.1927500E-09	-3.2331070E-01
5.0000777E+01	-1.3427900E-09	-5.0000000E-02	-7.4992400E-09	-3.2316600E-01
5.2000926E+01	-1.3221500E-09	-5.0000000E-02	-7.8250900E-09	-3.2303560E-01
5.4000535E+01	-1.3015300E-09	-5.0000000E-02	-8.0233900E-09	-3.2291250E-01
