Time	GateI	GateV	DrainI	Vref
0.0000000E+00	-1.0799200E-12	0.0000000E+00	-7.1559700E-10	-6.1193880E-02
3.0096779E+00	-1.4056000E-12	0.0000000E+00	-9.9155700E-10	-5.7467790E-02
6.0351725E+00	-1.0926700E-12	0.0000000E+00	-9.7091100E-10	-5.6079460E-02
9.0422108E+00	-2.8880800E-12	0.0000000E+00	-7.2349000E-10	-5.5152040E-02
1.2067099E+01	-1.7567900E-12	0.0000000E+00	-7.2352100E-10	-5.4442490E-02
1.5154834E+01	-1.5502000E-12	0.0000000E+00	-9.7095500E-10	-5.3848410E-02
1.8180557E+01	3.9589400E-13	0.0000000E+00	-9.5032100E-10	-5.3368380E-02
2.1190914E+01	-1.5401800E-12	0.0000000E+00	-7.2351500E-10	-5.2960550E-02
2.4201095E+01	-2.2690300E-12	0.0000000E+00	-7.0289900E-10	-5.2597170E-02
2.7229770E+01	-2.2048900E-12	0.0000000E+00	-9.7094900E-10	-5.2243030E-02
3.0285950E+01	-9.6707300E-12	-5.0000000E-02	-9.7093800E-10	-5.1966040E-02
3.3342804E+01	-3.8200600E-12	-5.0000000E-02	-7.0286900E-10	-5.1714450E-02
3.6358683E+01	-7.7554000E-12	-5.0000000E-02	-7.0288400E-10	-5.1483270E-02
3.9368000E+01	-7.8078500E-12	-5.0000000E-02	-9.5032300E-10	-5.1243970E-02
4.2383674E+01	-5.4329600E-12	-5.0000000E-02	-9.2964600E-10	-5.1019920E-02
4.5446527E+01	-3.9924400E-12	-5.0000000E-02	-7.0283800E-10	-5.0813990E-02
4.8450687E+01	-6.5166900E-12	-5.0000000E-02	-6.8223400E-10	-5.0613350E-02
5.1505139E+01	-5.0193100E-12	-5.0000000E-02	-9.5027800E-10	-5.0428920E-02
5.4521704E+01	-5.4957900E-12	-5.0000000E-02	-9.5026900E-10	-5.0245910E-02
5.7539879E+01	-4.3072700E-12	-5.0000000E-02	-7.0285400E-10	-5.0081550E-02
6.0606949E+01	-1.3560800E-11	-1.0000000E-01	-7.2350600E-10	-4.9942070E-02
6.3612330E+01	-1.2105100E-11	-1.0000000E-01	-9.2964800E-10	-4.9794880E-02
6.6638249E+01	-8.3841100E-12	-1.0000000E-01	-6.9835300E-10	-4.9647950E-02
6.9684198E+01	-9.6210200E-12	-1.0000000E-01	-7.0285200E-10	-4.9511880E-02
7.2711966E+01	-9.5040800E-12	-1.0000000E-01	-9.5030800E-10	-4.9359120E-02
7.5766926E+01	-5.9614200E-12	-1.0000000E-01	-9.2967000E-10	-4.9216850E-02
7.8777550E+01	-7.8514800E-12	-1.0000000E-01	-7.2349400E-10	-4.9101740E-02
8.1786958E+01	-1.0066000E-11	-1.0000000E-01	-7.0288100E-10	-4.8988480E-02
8.4811791E+01	-7.3579500E-12	-1.0000000E-01	-9.5029200E-10	-4.8855890E-02
8.7866128E+01	-6.4591200E-12	-1.0000000E-01	-9.5024800E-10	-4.8733650E-02
9.0922075E+01	-1.6398500E-11	-1.5000000E-01	-7.2348100E-10	-4.8639820E-02
9.3944530E+01	-1.4528500E-11	-1.5000000E-01	-7.0287800E-10	-4.8547990E-02
9.6961744E+01	-1.2019400E-11	-1.5000000E-01	-9.2964100E-10	-4.8433740E-02
9.9972324E+01	-1.0974600E-11	-1.5000000E-01	-6.8222200E-10	-4.8330700E-02
1.0298419E+02	-1.2466300E-11	-1.5000000E-01	-7.0286500E-10	-4.8224510E-02
1.0604356E+02	-1.2676400E-11	-1.5000000E-01	-9.5029000E-10	-4.8120170E-02
1.0909517E+02	-7.8911800E-12	-1.5000000E-01	-9.5029000E-10	-4.8013770E-02
1.1211989E+02	-1.0452300E-11	-1.5000000E-01	-6.8223500E-10	-4.7909710E-02
1.1513951E+02	-1.2313800E-11	-1.5000000E-01	-6.8225300E-10	-4.7805460E-02
1.1815212E+02	-7.6179500E-12	-1.5000000E-01	-9.2966800E-10	-4.7729570E-02
1.2116538E+02	-1.7192800E-11	-2.0000000E-01	-9.5028900E-10	-4.7640560E-02
1.2422778E+02	-1.3898400E-11	-2.0000000E-01	-6.8221800E-10	-4.7556450E-02
1.2728353E+02	-1.3258200E-11	-2.0000000E-01	-6.8223400E-10	-4.7468840E-02
1.3029944E+02	-1.3464700E-11	-2.0000000E-01	-9.2964600E-10	-4.7364120E-02
1.3331321E+02	-1.2960700E-11	-2.0000000E-01	-9.2962500E-10	-4.7263690E-02
1.3633269E+02	-1.2671100E-11	-2.0000000E-01	-7.0286400E-10	-4.7192000E-02
1.3934027E+02	-1.1661500E-11	-2.0000000E-01	-9.0900800E-10	-4.7092190E-02
1.4240133E+02	-1.0738800E-11	-2.0000000E-01	-9.2962700E-10	-4.6992550E-02
1.4546169E+02	-1.1516500E-11	-2.0000000E-01	-6.8221300E-10	-4.6913030E-02
1.4847355E+02	-1.0730700E-11	-2.0000000E-01	-6.8221600E-10	-4.6830540E-02
1.5148954E+02	-2.0290500E-11	-2.5000000E-01	-9.2964500E-10	-4.6762130E-02
1.5450423E+02	-1.7519200E-11	-2.5000000E-01	-9.2961900E-10	-4.6686430E-02
1.5752657E+02	-1.5538900E-11	-2.5000000E-01	-6.8221900E-10	-4.6605270E-02
1.6057928E+02	-1.6889500E-11	-2.5000000E-01	-6.8225900E-10	-4.6526140E-02
1.6363520E+02	-1.5143300E-11	-2.5000000E-01	-9.2969700E-10	-4.6430850E-02
1.6665496E+02	-1.3180600E-11	-2.5000000E-01	-9.5031000E-10	-4.6352500E-02
1.6967233E+02	-1.6985900E-11	-2.5000000E-01	-7.0288700E-10	-4.6272020E-02
1.7267862E+02	-1.4057300E-11	-2.5000000E-01	-7.0289600E-10	-4.6201720E-02
1.7569979E+02	-1.2007200E-11	-2.5000000E-01	-9.0905900E-10	-4.6111550E-02
1.7876050E+02	-1.3312200E-11	-2.5000000E-01	-6.8325000E-10	-4.6037520E-02
1.8181782E+02	-2.0365200E-11	-3.0000000E-01	-7.0286600E-10	-4.5960280E-02
1.8483299E+02	-1.8783900E-11	-3.0000000E-01	-9.2965100E-10	-4.5882940E-02
1.8784098E+02	-1.6189600E-11	-3.0000000E-01	-9.2964800E-10	-4.5822000E-02
1.9085871E+02	-1.8969100E-11	-3.0000000E-01	-9.5025700E-10	-4.5748450E-02
1.9387428E+02	-1.8530400E-11	-3.0000000E-01	-6.8222200E-10	-4.5673630E-02
1.9693761E+02	-1.5497200E-11	-3.0000000E-01	-6.6164500E-10	-4.5591570E-02
1.9998561E+02	-1.6087300E-11	-3.0000000E-01	-6.6164000E-10	-4.5518400E-02
2.0299622E+02	-1.6736100E-11	-3.0000000E-01	-9.2968500E-10	-4.5435610E-02
2.0602035E+02	-1.5623800E-11	-3.0000000E-01	-9.5030700E-10	-4.5369430E-02
2.0903756E+02	-1.5567500E-11	-3.0000000E-01	-6.8225600E-10	-4.5293950E-02
2.1205481E+02	-2.5037500E-11	-3.5000000E-01	-6.6163500E-10	-4.5223750E-02
2.1510803E+02	-1.8322800E-11	-3.5000000E-01	-6.6164600E-10	-4.5181000E-02
2.1817196E+02	-2.2944700E-11	-3.5000000E-01	-9.5030600E-10	-4.5103290E-02
2.2118837E+02	-2.1255600E-11	-3.5000000E-01	-9.5030300E-10	-4.5049490E-02
2.2419655E+02	-1.8639900E-11	-3.5000000E-01	-9.5028300E-10	-4.4961560E-02
2.2721775E+02	-2.0681900E-11	-3.5000000E-01	-6.6161800E-10	-4.4880780E-02
2.3023400E+02	-1.9283500E-11	-3.5000000E-01	-6.6163300E-10	-4.4803680E-02
2.3328960E+02	-1.7711500E-11	-3.5000000E-01	-6.6163800E-10	-4.4749820E-02
2.3634528E+02	-1.7853700E-11	-3.5000000E-01	-6.6165800E-10	-4.4682710E-02
2.3936499E+02	-2.0704600E-11	-3.5000000E-01	-9.5031300E-10	-4.4611540E-02
2.4237616E+02	-2.6123800E-11	-4.0000000E-01	-9.7094100E-10	-4.4553250E-02
2.4539230E+02	-2.7318600E-11	-4.0000000E-01	-9.5029800E-10	-4.4505550E-02
2.4841081E+02	-2.8837200E-11	-4.0000000E-01	-9.5029600E-10	-4.4440340E-02
2.5146568E+02	-2.3383500E-11	-4.0000000E-01	-9.5022400E-10	-4.4371780E-02
2.5451825E+02	-2.4848800E-11	-4.0000000E-01	-6.8222500E-10	-4.4301160E-02
2.5753391E+02	-2.5775800E-11	-4.0000000E-01	-6.4096500E-10	-4.4223880E-02
2.6054980E+02	-2.2536400E-11	-4.0000000E-01	-6.4097600E-10	-4.4151110E-02
2.6357298E+02	-2.1509800E-11	-4.0000000E-01	-6.4098100E-10	-4.4085250E-02
2.6659130E+02	-2.2299300E-11	-4.0000000E-01	-6.6160100E-10	-4.4022330E-02
2.6963716E+02	-2.2584400E-11	-4.0000000E-01	-6.4134000E-10	-4.3966180E-02
2.7269276E+02	-2.8655200E-11	-4.5000000E-01	-9.5030900E-10	-4.3911310E-02
2.7572195E+02	-2.9845000E-11	-4.5000000E-01	-9.2967200E-10	-4.3868970E-02
2.7873001E+02	-3.0536200E-11	-4.5000000E-01	-9.2967000E-10	-4.3792120E-02
2.8174688E+02	-2.6425200E-11	-4.5000000E-01	-9.5029400E-10	-4.3730520E-02
2.8476881E+02	-2.8269100E-11	-4.5000000E-01	-9.2886000E-10	-4.3662000E-02
2.8781509E+02	-2.8260300E-11	-4.5000000E-01	-6.4096200E-10	-4.3593080E-02
2.9087618E+02	-2.5903500E-11	-4.5000000E-01	-6.6160300E-10	-4.3524500E-02
2.9389152E+02	-2.8342100E-11	-4.5000000E-01	-6.6160700E-10	-4.3469200E-02
2.9690770E+02	-2.7063500E-11	-4.5000000E-01	-6.7193000E-10	-4.3408270E-02
2.9992674E+02	-2.5138700E-11	-4.5000000E-01	-9.2965100E-10	-4.3332950E-02
3.0294721E+02	-3.8419700E-11	-5.0000000E-01	-7.0814100E-10	-4.3287940E-02
3.0600156E+02	-3.4375200E-11	-5.0000000E-01	-6.6160200E-10	-4.3255680E-02
3.0906401E+02	-3.4107900E-11	-5.0000000E-01	-6.8223500E-10	-4.3178050E-02
3.1207878E+02	-3.3350600E-11	-5.0000000E-01	-6.6161400E-10	-4.3130670E-02
3.1508786E+02	-3.3170000E-11	-5.0000000E-01	-6.3957300E-10	-4.3070530E-02
3.1810931E+02	-3.3713900E-11	-5.0000000E-01	-9.0902300E-10	-4.3012100E-02
3.2112880E+02	-3.2135100E-11	-5.0000000E-01	-9.2963900E-10	-4.2956230E-02
3.2418433E+02	-3.3581600E-11	-5.0000000E-01	-7.0285400E-10	-4.2896610E-02
3.2723932E+02	-3.3044000E-11	-5.0000000E-01	-6.6161000E-10	-4.2819210E-02
3.3025706E+02	-3.0164100E-11	-5.0000000E-01	-6.4099400E-10	-4.2763390E-02
3.3326136E+02	-4.3013800E-11	-5.5000000E-01	-9.2964400E-10	-4.2722410E-02
3.3628941E+02	-4.3773900E-11	-5.5000000E-01	-9.2964400E-10	-4.2691370E-02
3.3930575E+02	-4.1959500E-11	-5.5000000E-01	-9.2962400E-10	-4.2626650E-02
3.4236203E+02	-4.1396700E-11	-5.5000000E-01	-6.7581900E-10	-4.2562820E-02
3.4541441E+02	-4.0194600E-11	-5.5000000E-01	-6.4096500E-10	-4.2507660E-02
3.4843463E+02	-4.1383400E-11	-5.5000000E-01	-6.4096500E-10	-4.2457900E-02
3.5145078E+02	-4.0846600E-11	-5.5000000E-01	-6.4097400E-10	-4.2405130E-02
3.5446853E+02	-3.9876200E-11	-5.5000000E-01	-6.4905500E-10	-4.2344820E-02
3.5748202E+02	-4.0695000E-11	-5.5000000E-01	-9.0901000E-10	-4.2274950E-02
3.6053755E+02	-3.9881700E-11	-5.5000000E-01	-9.2963700E-10	-4.2231940E-02
3.6359623E+02	-5.1832300E-11	-6.0000000E-01	-7.2451400E-10	-4.2184560E-02
3.6660720E+02	-5.3847100E-11	-6.0000000E-01	-6.2035100E-10	-4.2147320E-02
3.6962795E+02	-5.0110000E-11	-6.0000000E-01	-6.4097400E-10	-4.2100510E-02
3.7264181E+02	-4.9109000E-11	-6.0000000E-01	-6.1968300E-10	-4.2049240E-02
3.7564850E+02	-5.1945200E-11	-6.0000000E-01	-9.5027600E-10	-4.2010090E-02
